Identifier,Author,Title,Year,REGION,State
Atre2022,"Atre, Sachin R.; Jagtap, Jayshri D.; Faqih, Mujtaba I.; Dumbare, Yogita K.; Sawant, Trupti U.; Ambike, Sunil L.; Bhawalkar, Jitendra S.; Bharaswadkar, Sandeep K.; Jogewar, Padmaja K.; Adkekar, Ramji S.; Hodgar, Balasaheb P.; Jadhav, Vaishali; Mokashi, Nitin D.; Golub, Jonathan E.; Dixit, Avika; Farhat, Maha R.",Tuberculosis pathways to care and transmission of multidrug resistance in India,2022,Pune,Maharashtra
Balasubramnian2022,"Balasubramnian, Arjun; Francis, Paul T.; Leelamoni, K.; Rakesh, P. S.; Lalu, Jishnu Sathees",Diagnostic and treatment delay among new pulmonary tuberculosis patients in Southern India: A cross-sectional study,2022,Kerala,Kerala
Basa2016,"Basa, Sudipta; Venkatesh, S.","Patient and Healthcare System Delays in the Start of Pulmonary Tuberculosis Treatment Among Tribal Patients Registered Under DOTS, Odisha",2016,Odisha,Odisha
Behera2013,"Behera, Binod Kumar; Jain, Ram Bilash; Gupta, Krishan Bihari; Goel, Manish Kumar",Extent of delay in diagnosis in new smear positive patients of pulmonary tuberculosis attending tertiary care hospital,2013,Haryana,Haryana
BronnerMurrison2016,"Bronner Murrison, L.; Ananthakrishnan, R.; Swaminathan, A.; Auguesteen, S.; Krishnan, N.; Pai, M.; Dowdy, D. W.","How do patients access the private sector in Chennai, India? An evaluation of delays in tuberculosis diagnosis",2016,Chennai,Tamil Nadu
Chandra2021,"Chandra, Ankit; Kumar, Rakesh; Kant, Shashi; Krishnan, Anand","Diagnostic Pathways and Delays in Initiation of Treatment among Newly Diagnosed Tuberculosis Patients in Ballabgarh, India",2021,Ballabgarh,Haryana
Daftary2019,"Daftary, Amrita; Satyanarayana, Srinath; Jha, Nita; Singh, Mugdha; Mondal, Shinjini; Vadnais, Caroline; Pai, Madhukar",Can community pharmacists improve tuberculosis case finding? A mixed methods intervention study in India,2019,Patna,Patna
Das2017,"Das, Sibasis; Basu, Mausumi; Mandal, Amitabha; Roy, Nirmalya; Chatterjee, Sita; Dasgupta, Aparajita",Prevalence and determinants of delay in diagnosis of pulmonary tuberculosis in Darjeeling district of West Bengal,2017,West Bengal,Patna
Gandhi2022,"Gandhi, Aravind Periyasamy; Kathirvel, Soundappan; Rehman, Tanveer",Effect of COVID-19 lockdown on the pathway of care and treatment outcome among patients with tuberculosis in a rural part of northern India: a community-based study,2022,Northern,Patna
Gothankar2016,"Gothankar, Jayashree Sachin; Patil, Usha Pravin; Gaikwad, Sunil R.; Kamble, Sulakshana B.",Care seeking behaviour and various delays in Tuberculosis patients registered under RNTCP in Pune city,2016,Pune,Maharashtra
Kalra2017,"Kalra, A.","Care seeking and treatment related delay among childhood tuberculosis patients in Delhi, India",2017,Delhi,Delhi
Kamaraj2021,"Kamaraj, Arunraj; Goel, Manish Kumar; Khandekar, Jyoti; Khayyam, Khalid Umer; Rasania, Sanjeev Kumar",Delay in diagnosis and treatment among registered TB patients in Directly Observed Treatment Short Course cum Designated Microscopy Centres in South Delhi,2021,Delhi,Delhi
Kapoor2012,"Kapoor, Sunil K.; Raman, A. Venkat; Sachdeva, Kuldeep Singh; Satyanarayana, Srinath",How Did the TB Patients Reach DOTS Services in Delhi? A Study of Patient Treatment Seeking Behavior,2012,Delhi,Delhi
Kumawat2022,"Kumawat, Anil; Chakraborti, Amartya; Kumar, Suresh; Sonigra, Maldev; Bhatnagar, Anuj; Kumar, Ashok; Chopra, K. K.",Study of factors leading to treatment delay in new sputum positive pulmonary tuberculosis patients and its impact on sputum conversion,2022,Delhi,Delhi
Mistry2016,"Mistry, Nerges; Rangan, Sheela; Dholakia, Yatin; Lobo, Eunice; Shah, Shimoni; Patil, Akshaya","Durations and Delays in Care Seeking, Diagnosis and Treatment Initiation in Uncomplicated Pulmonary Tuberculosis Patients in Mumbai, India",2016,Mumbai,Mumbai
Mistry2017,"Mistry, Nerges; Lobo, Eunice; Shah, Shimoni; Rangan, Sheela; Dholakia, Yatin","Pulmonary tuberculosis in Patna, India: Durations, delays, and health care seeking behaviour among patients identified through household surveys",2017,Patna,Patna
Muniyandi2020,"Muniyandi, M.; Karikalan, N.; Kannan, T.; Saravanan, B.; Vidhya, P.; Rajendran, K.","TB diagnostic cascade among patients registered under the Revised National TB Control Programme in Chennai, South India",2020,Chennai,Tamil Nadu
