ppm,dur_pri,ppv_pri,p_pri_on_pub,p_pub,tp_pri_drug,tp_pri_drug_time,tp_pri_txi,drug_time,Scenario,Key
0.573788450142136,0.8716247141814242,0.4292609509831616,0.1286855124467519,0.7390898108778151,411325.5329671907,358521.5001080496,444118.46822454466,6.038602695430776e-4,Drug sales data alone,793
0.5655622696181978,0.9373733613052008,0.5536938594073778,0.2707087773971287,0.6837512268469572,493282.95857929543,462390.3049580483,582458.9846089317,6.037840656132525e-4,Drug sales data alone,1865
0.6241486392743909,0.957356015811286,0.43596072913003686,0.13221818052654952,0.7521146889676099,380372.9915634724,364152.37172542576,414586.22088688466,6.03918602787695e-4,Drug sales data alone,67
0.4927024778359048,0.9883392247554286,0.7179892640080215,0.6080186664949759,0.5923664606354907,606925.0563898307,599847.83971697,866506.3638518925,6.040401180488069e-4,Drug sales data alone,319
0.6103146622141657,0.9021238003151512,0.7280524353659481,0.0782244626516114,0.6402786732836678,672842.691486783,606987.4058583316,706575.7011114826,6.027811409567773e-4,Drug sales data alone,1903
0.2524276578666032,0.38503110084716147,0.7350808236365877,0.3017360313111297,0.4216606599433914,1596720.327233764,614786.9853398561,1728363.7811837487,6.046891928909133e-4,Drug sales data alone,1750
0.221809774386969,0.3549795275557091,0.3094913494674341,0.5379227941373644,0.6031740564262862,729250.8172141925,258869.1105643088,828050.9911234007,6.047478762439756e-4,Drug sales data alone,854
0.4271001058398801,0.7358672080691366,0.5193236694707647,0.4309127149771918,0.63591484873775,588980.1184172704,433411.1553479462,721827.2798914404,6.033990236234361e-4,Drug sales data alone,1474
0.2569224725764849,0.3949229166916925,0.7245282503057727,0.3166628848234482,0.42948377770344615,1534704.5696208985,606090.0048947539,1670622.7828083378,6.048176176764021e-4,Drug sales data alone,299
0.6373732383827281,0.9302761917672672,0.2825070691921153,0.06001028595537927,0.826985831822507,253043.8430262412,235400.66264060585,263107.42588118813,6.024499828332507e-4,Drug sales data alone,1719
0.6779945986763174,0.98847192424574,0.542099368782197,0.04744058742694272,0.727115577186141,458199.12156229327,452916.96737838775,473426.63457575213,6.040631236924672e-4,Drug sales data alone,242
0.17845329690988976,0.28997235740478566,0.7444842657817888,0.7602400469153733,0.33682930947457734,2142562.9765966693,621284.0372119508,2478863.848063563,6.033610997853663e-4,Drug sales data alone,1200
